video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
31200,578,"Porifera fan/funnel/stalk/cup","VME sponge > VME Porifera fan/stalk/cup/funnel > Porifera fan/funnel/stalk/cup",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1394.33,890.87]]",[999.015683],31209,"2025-02-19 12:50:08","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31201,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1285.85,618.99]]",[992.888363],31210,"2025-02-19 12:51:26","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31202,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[767.54,785.73]]",[1000.896541],31211,"2025-02-19 12:54:27","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31203,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[790.31,765.64]]",[1000.896541],31212,"2025-02-19 12:54:29","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31204,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1395.67,874.79]]",[1004.551252],31213,"2025-02-19 12:55:26","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31205,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1803.48,708.05]]",[1001.267727],31214,"2025-02-19 12:56:04","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31206,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1552.37,688.63]]",[1001.818439],31215,"2025-02-19 12:56:21","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31207,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1636.07,679.26]]",[1001.818439],31216,"2025-02-19 12:56:22","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31208,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1646.12,602.25]]",[1001.818439],31217,"2025-02-19 12:56:23","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31209,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1589.2,655.82]]",[1001.818439],31218,"2025-02-19 12:56:24","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31210,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1399.69,786.4]]",[1009.613239],31219,"2025-02-19 12:56:57","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31211,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1621.34,770.33]]",[1009.613239],31220,"2025-02-19 12:56:58","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31212,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1638.75,695.33]]",[1009.613239],31221,"2025-02-19 12:56:59","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31213,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1768.66,764.97]]",[1009.613239],31222,"2025-02-19 12:57:00","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31214,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[412.63,971.22]]",[999.623163],31223,"2025-02-19 12:58:18","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31215,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[308.84,1000.02]]",[999.623163],31224,"2025-02-19 12:58:24","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31217,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[602.81,1033.5]]",[1011.447045],31226,"2025-02-19 12:58:50","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31218,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1130.49,963.86]]",[1001.796994],31227,"2025-02-19 12:59:56","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31219,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[770.89,790.42]]",[1010.202302],31228,"2025-02-19 13:00:38","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31220,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[790.31,768.32]]",[1010.202302],31229,"2025-02-19 13:00:41","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31221,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1095,724.79]]",[1012.521387],31230,"2025-02-19 13:01:41","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31222,569,"Actiniaria free stet.","VME anemones > Actiniaria free stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1318.66,691.31]]",[1012.521387],31231,"2025-02-19 13:03:43","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31223,429,"Echinoidea stet.","Fauna > Echinoidea stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1617.32,500.46]]",[1013.231091],31232,"2025-02-19 13:04:24","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
