datetime,videotime,lon,lat,depth,elapsed_seconds,xsmoothed,ysmoothed,depthsmoothed,LON2,LAT2,DEPTH2,videotime_interpolated
2021-01-07T10:20:07Z,00:49:03,5.2708855,8.00005633,113.4,2940,5.27090110361905,8.000057339509603,113.48027204274977,5.27090110361905,8.000057339509603,113.48027204274977,2940
2021-01-07T10:20:08Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2708957667684695,8.000056664412806,113.44785455441748,2941
2021-01-07T10:20:09Z,00:49:05,5.27087717,8.00005733,113.5,2942,5.270890709923597,8.00005595381445,113.41003538916138,5.270890709923597,8.00005595381445,113.41003538916138,2942
2021-01-07T10:20:10Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270885954184549,8.000055207879505,113.36641818691287,2943
2021-01-07T10:20:11Z,00:49:07,5.2708695,8.00005733,113.3,2944,5.270881520651484,8.000054426772952,113.31660658760433,5.270881520651484,8.000054426772952,113.31660658760433,2944
2021-01-07T10:20:12Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270877430424558,8.00005361065975,113.26020423116752,2945
2021-01-07T10:20:13Z,00:49:09,5.27086583,8.0000565,113.3,2946,5.2708737046039,8.000052759704893,113.19681475753426,5.2708737046039,8.000052759704893,113.19681475753426,2946
2021-01-07T10:20:14Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270870364289673,8.000051874073325,113.12604180663637,2947
2021-01-07T10:20:15Z,00:49:11,5.27085933,8.00005467,113.1,2948,5.270867430582008,8.000050953930057,113.04748901840628,5.270867430582008,8.000050953930057,113.04748901840628,2948
2021-01-07T10:20:16Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270864924581063,8.00004999944003,112.96076003277547,2949
2021-01-07T10:20:17Z,00:49:13,5.2708565,8.00005517,112.9,2950,5.270862867386978,8.00004901076825,112.86545848967597,5.270862867386978,8.00004901076825,112.86545848967597,2950
2021-01-07T10:20:18Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2708612800999,8.000047988079656,112.76118802903962,2951
2021-01-07T10:20:19Z,00:49:15,5.270859,8.00005333,112.6,2952,5.270860183819975,8.00004693153926,112.64755229079817,5.270860183819975,8.00004693153926,112.64755229079817,2952
2021-01-07T10:20:20Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270859599646721,8.000045841311977,112.52415493573655,2953
2021-01-07T10:20:21Z,00:49:16,5.27085917,8.00004783,112.4,2954,5.2708595407471455,8.000044717169555,112.39086341365632,5.2708595407471455,8.000044717169555,112.39086341365632,2954
2021-01-07T10:20:22Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270859992543507,8.000043557508423,112.24846780089047,2955
2021-01-07T10:20:23Z,00:49:20,5.27087117,8.00003833,112.2,2956,5.270860934395818,8.000042360424544,112.09795976902893,5.270860934395818,8.000042360424544,112.09795976902893,2956
2021-01-07T10:20:24Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270862345664085,8.00004112401383,111.94033098966143,2957
2021-01-07T10:20:25Z,00:49:22,5.270876,8.00003483,111.9,2958,5.270864205708306,8.00003984637222,111.77657313437759,5.270864205708306,8.00003984637222,111.77657313437759,2958
2021-01-07T10:20:26Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270866493888489,8.000038525595652,111.60767787476728,2959
2021-01-07T10:20:27Z,00:49:24,5.27088367,8.00003017,111.6,2960,5.270869189564638,8.000037159780073,111.43463688242015,5.270869189564638,8.000037159780073,111.43463688242015,2960
2021-01-07T10:20:28Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270872272096771,8.000035747021421,111.25844182892567,2961
2021-01-07T10:20:29Z,00:49:26,5.2708945,8.00002733,111.2,2962,5.270875720844887,8.000034285415625,111.08008438587407,5.270875720844887,8.000034285415625,111.08008438587407,2962
2021-01-07T10:20:30Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270879515168981,8.00003277305863,110.9005562248549,2963
2021-01-07T10:20:31Z,00:49:28,5.27089917,8.0000255,110.7,2964,5.2708836344290715,8.00003120804636,110.72084901745728,5.2708836344290715,8.00003120804636,110.72084901745728,2964
2021-01-07T10:20:32Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270888057985159,8.000029588474773,110.5419544352718,2965
2021-01-07T10:20:33Z,00:49:29,5.27090167,8.00002533,110.1,2966,5.270892765197248,8.000027912439782,110.36486414988737,5.270892765197248,8.000027912439782,110.36486414988737,2966
2021-01-07T10:20:34Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270897735425344,8.000026178037336,110.19056983289443,2967
2021-01-07T10:20:35Z,00:49:31,5.2709035,8.00002467,109.8,2968,5.270902948029458,8.000024383363375,110.0200631558824,5.270902948029458,8.000024383363375,110.0200631558824,2968
2021-01-07T10:20:36Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2709083823696,8.000022526513838,109.85433579044086,2969
2021-01-07T10:20:37Z,00:49:33,5.2709075,8.00002317,109.4,2970,5.270914017805756,8.000020605584673,109.69437940815936,5.270914017805756,8.000020605584673,109.69437940815936,2970
2021-01-07T10:20:38Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270919833697945,8.000018618671776,109.54118568062788,2971
2021-01-07T10:20:39Z,00:49:35,5.27091367,8.00002017,109.2,2972,5.270925809406178,8.000016563871148,109.39574627943632,5.270925809406178,8.000016563871148,109.39574627943632,2972
2021-01-07T10:20:40Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270931924290445,8.000014439278651,109.25905287617444,2973
2021-01-07T10:20:41Z,00:49:37,5.27092317,8.000015,109,2974,5.270938157713768,8.000012243003919,109.13209377908167,5.270938157713768,8.000012243003919,109.13209377908167,2974
2021-01-07T10:20:42Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270944489515924,8.000009975320749,109.01532325729829,2975
2021-01-07T10:20:43Z,00:49:39,5.27093583,8.00000933,108.9,2976,5.270950900530988,8.000007641016438,108.90808186165486,5.270950900530988,8.000007641016438,108.90808186165486,2976
2021-01-07T10:20:44Z,NA,NA,NA,NA,NA,NA,NA,NA,5.2709573717174365,8.00000524544298,108.8095708129139,2977
2021-01-07T10:20:45Z,00:49:41,5.27094767,8.00000467,108.8,2978,5.2709638840337165,8.000002793952351,108.71899133183729,5.2709638840337165,8.000002793952351,108.71899133183729,2978
2021-01-07T10:20:46Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270970418438313,8.000000291896486,108.63554463918749,2979
2021-01-07T10:20:47Z,00:49:42,5.27096267,8.00000117,108.8,2980,5.270976955889686,7.999997744627348,108.55843195572655,5.270976955889686,7.999997744627348,108.55843195572655,2980
2021-01-07T10:20:48Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270983477346289,7.999995157496922,108.48685450221593,2981
2021-01-07T10:20:49Z,00:49:46,5.27099617,7.99999133,108.6,2982,5.270989963766604,7.999992535857161,108.42001349941924,5.270989963766604,7.999992535857161,108.42001349941924,2982
2021-01-07T10:20:50Z,NA,NA,NA,NA,NA,NA,NA,NA,5.270996396109107,7.999989885060037,108.35711016809736,2983
2021-01-07T10:20:51Z,00:49:48,5.27101233,7.99998717,108.5,2984,5.271002755332235,7.999987210457492,108.29734572901293,5.271002755332235,7.999987210457492,108.29734572901293,2984
2021-01-07T10:20:52Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271009022394472,7.999984517401527,108.23992140292803,2985
2021-01-07T10:20:53Z,00:49:50,5.27102733,7.9999825,108.3,2986,5.271015178254285,7.999981811244094,108.18403841060513,5.271015178254285,7.999981811244094,108.18403841060513,2986
2021-01-07T10:20:54Z,NA,NA,NA,NA,NA,NA,NA,NA,5.27102120387014,7.999979097337144,108.12889797280596,2987
2021-01-07T10:20:55Z,00:49:52,5.27104033,7.99997717,108.1,2988,5.271027080200496,7.9999763810326465,108.0737013102933,5.271027080200496,7.9999763810326465,108.0737013102933,2988
2021-01-07T10:20:56Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271032788203821,7.999973667682597,108.01764964382838,2989
2021-01-07T10:20:57Z,00:49:53,5.2710485,7.99997117,108,2990,5.271038308838594,7.9999709626388995,107.95994419417418,5.271038308838594,7.9999709626388995,107.95994419417418,2990
2021-01-07T10:20:58Z,NA,NA,NA,NA,NA,NA,NA,NA,5.271043623063261,7.9999682712535725,107.89978618209246,2991
